source_path,category,proposed_sad,action
docs/ADR/adr-0037-backend-test-suite-split-runner.md,adr,components/backend,absorb-or-stub
docs/ADR/adr-0037-content-locale-story-runtime.md,adr,components/content-authority,absorb-or-stub
docs/ADR/adr-0038-canonical-turn-lifecycle-single-commit-path.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0039-gate-tests-no-hardcoded-oracle-bypass.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/adr-0040-quality-lab-mcp-runtime-diagnostics.md,adr,components/mcp-server,absorb-or-stub
docs/ADR/adr-0041-semantic-capability-selection-and-runtime-capability-budgeting.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0042-meta-narrative-awareness-opt-in.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0043-adaptive-meta-narrative-awareness.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0044-runtime-rag-context-fabric-routing-and-authority-boundaries.md,adr,components/ai-stack,absorb-or-stub
docs/ADR/adr-0045-runtime-memory-indexes-and-retrieval-write-contracts.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0046-typewriter-cinematic-direction.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0047-at-rest-encryption-evidence-boundary.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0048-central-route-and-mcp-rate-limit-inventory.md,adr,components/mcp-server,absorb-or-stub
docs/ADR/adr-0049-provider-credential-governance-and-local-evaluator-evidence.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0050-security-governance-browser-mutation-boundaries.md,adr,project/security-governance,absorb-or-stub
docs/ADR/adr-0051-storage-layer-encryption-governance.md,adr,components/ai-stack,absorb-or-stub
docs/ADR/adr-0052-security-governance-admin-control-plane.md,adr,components/administration-tool,absorb-or-stub
docs/ADR/adr-0053-bounded-semantic-scene-planner.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0054-session-input-language-english-internal-resolution.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0055-semantic-player-input-translation-ingress.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0056-souffleuse-player-guidance-lane.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0057-canon-safe-player-freedom-and-affordance-inference.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0058-director-driven-pulse-and-block-stream-bus.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0058-director-driven-pulse-block-stream-bus.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0059-semantic-npc-motivation-score.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0060-souffleuse-inner-voice-composition.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0061-director-pause-mode-for-gathering-interruption.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0062-director-realization-thin-path.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0063-w5-actor-tracking.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0064-python-314-unified-interpreter-standard.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0065-w5-narrator-strict-mode-default-actor-situation-surface.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0066-retire-narrator-legacy-compat-diagnostics-flag.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0067-deprecate-narrator-strict-off-transition-rollback.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0068-remove-narrator-strict-off-transition-rollback.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0069-w5-player-view-replaces-current-room-aliases.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0070-w5-actor-tracking-replaces-narrator-consequence-location-framing.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-0071-retire-legacy-narrator-consequence-area-fields-after-w5-location-framing.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/adr-template.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/LANGFUSE_OBSERVABILITY.md,adr,project/observability-traceability,absorb-or-stub
docs/ADR/legacy/adr-0021-runtime-authority.md,adr,components/world-engine,absorb-or-stub
docs/ADR/migration_from_archive_2026-04-17.md,adr,TBD,absorb-or-stub
docs/ADR/MVP4_TEST_GATE_PLAN.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-001-experience-identity.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-002-runtime-profile-resolver.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-003-role-selection-actor-ownership.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-005-canonical-content-authority.md,adr,components/content-authority,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-006-evidence-gated-capabilities.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp1-016-operational-gates.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp2-003-npc-coercion-state-delta.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp2-004-actor-lane-enforcement.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp2-015-environment-affordances.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp2-016-operational-gates.md,adr,project/quality-gates,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp3-007-minimum-agency-baseline-superseded.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp3-011-live-dramatic-scene-simulator.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp3-012-npc-free-dramatic-agency.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp3-013-narrator-inner-voice-contract.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-001-observability-diagnostics.md,adr,project/observability-traceability,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-002-langfuse-integration.md,adr,project/observability-traceability,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-003-evaluation-pipeline.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-004-narrative-gov-panels.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-008-diagnostics-degradation-semantics.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-009-langfuse-traceable-decisions.md,adr,project/observability-traceability,absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp4-010-narrative-gov-operator-truth-surface.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp5-001-modular-block-rendering-architecture.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp5-002-virtual-clock-deterministic-testing.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/MVP_Live_Runtime_Completion/adr-mvp5-003-accessibility-mode-implementation.md,adr,project/governance (exception link),absorb-or-stub
docs/ADR/OBSERVABILITY_REDACTION_POLICY.md,adr,project/observability-traceability,absorb-or-stub
